entity,json_key,go_field,go_type,rust_field,rust_type,status,notes
AuthInfo,Version,Version,int,version,i32,Compatible,Numeric width differs only
AuthInfo,Modulus,Modulus,string,modulus,String,Exact,
AuthInfo,ServerEphemeral,ServerEphemeral,string,server_ephemeral,String,Exact,
AuthInfo,Salt,Salt,string,salt,String,Exact,
AuthInfo,SRPSession,SRPSession,string,srp_session,String,Exact,
AuthInfo,2FA,TwoFA,TwoFAInfo,two_factor,Option<TwoFactorInfo>,Compatible,Rust models 2FA metadata as optional
Auth,UserID,UserID,string,user_id,Option<String>,Compatible,
Auth,UID,UID,string,uid,String,Exact,
Auth,AccessToken,AccessToken,string,access_token,String,Exact,
Auth,RefreshToken,RefreshToken,string,refresh_token,String,Exact,
Auth,ServerProof,ServerProof,string,server_proof,String,Exact,
Auth,Scope,Scope,string,scope,Option<String>,Compatible,Rust keeps both Scope and Scopes for compatibility
Auth,2FA,TwoFA,TwoFAInfo,two_factor,TwoFactorInfo,Compatible,Same concept different shape
Auth,PasswordMode,PasswordMode,PasswordMode,password_mode,i32,Compatible,Enum vs raw int
RefreshResponse,UID,UID,string,uid,String,Exact,Rust defaults/fills if missing
RefreshResponse,AccessToken,AccessToken,string,access_token,String,Exact,
RefreshResponse,RefreshToken,RefreshToken,string,refresh_token,String,Exact,
RefreshResponse,ServerProof,ServerProof,string,server_proof,Option<String>,Compatible,
RefreshResponse,Scope,Scope,string,scope,Option<String>,Compatible,
RefreshResponse,2FA,TwoFA,TwoFAInfo,two_factor,Option<TwoFactorInfo>,Compatible,
RefreshResponse,PasswordMode,PasswordMode,PasswordMode,password_mode,Option<i32>,Compatible,Enum vs optional raw int
TwoFAInfo,Enabled,Enabled,TwoFAStatus,enabled,i32,Compatible,Enum vs raw int
TwoFAInfo,FIDO2,FIDO2,FIDO2Info,fido2,Option<Fido2Info>,Compatible,Rust optional
FIDO2Info,AuthenticationOptions,AuthenticationOptions,any,authentication_options,Value,Compatible,
FIDO2Info,RegisteredKeys,RegisteredKeys,[]RegisteredKey,registered_keys,Vec<RegisteredKey>,Compatible,
User,ID,ID,string,id,String,Exact,
User,Name,Name,string,name,String,Exact,
User,DisplayName,DisplayName,string,display_name,String,Exact,
User,Email,Email,string,email,String,Exact,
User,Keys,Keys,Keys,keys,Vec<UserKey>,Compatible,Different key representation
User,UsedSpace,UsedSpace,uint64,used_space,i64,Compatible,Signed vs unsigned
User,MaxSpace,MaxSpace,uint64,max_space,i64,Compatible,Signed vs unsigned
User,MaxUpload,MaxUpload,uint64,max_upload,i64,Compatible,Signed vs unsigned
User,Credit,Credit,int,credit,i64,Compatible,
User,Currency,Currency,string,currency,String,Exact,
User,ProductUsedSpace,ProductUsedSpace,ProductUsedSpace,product_used_space,ProductUsedSpace,Exact,
UserKey,ID,ID,string,id,String,Exact,
UserKey,PrivateKey,PrivateKey,[]byte,private_key,String,Compatible,Rust stores armored string directly
UserKey,Active,Active,Bool,active,i32,Compatible,Bool wrapper vs API-int
UserKey,Token,Token,string,token,Option<String>,Compatible,
UserKey,Signature,Signature,string,signature,Option<String>,Compatible,
UserKey,Primary,Primary,Bool,primary,Option<i32>,Compatible,Bool wrapper vs API-int
UserKey,Flags,Flags,KeyState,flags,Option<i32>,Compatible,Enum vs raw int
ProductUsedSpace,Calendar,Calendar,uint64,calendar,i64,Compatible,
ProductUsedSpace,Contact,Contact,uint64,contact,i64,Compatible,
ProductUsedSpace,Drive,Drive,uint64,drive,i64,Compatible,
ProductUsedSpace,Mail,Mail,uint64,mail,i64,Compatible,
ProductUsedSpace,Pass,Pass,uint64,pass,i64,Compatible,
Address,ID,ID,string,id,String,Exact,
Address,Email,Email,string,email,String,Exact,
Address,Send,Send,Bool,send,i32,Compatible,Bool wrapper vs API-int
Address,Receive,Receive,Bool,receive,i32,Compatible,Bool wrapper vs API-int
Address,Status,Status,AddressStatus,status,i32,Compatible,Enum vs raw int
Address,Type,Type,AddressType,address_type,i32,Compatible,Enum vs raw int
Address,Order,Order,int,order,i32,Compatible,Defaults to 0 when absent
Address,DisplayName,DisplayName,string,display_name,String,Exact,
Address,Keys,Keys,Keys,keys,Vec<AddressKey>,Compatible,Different key representation
AddressKey,ID,ID,string,id,String,Exact,
AddressKey,PrivateKey,PrivateKey,[]byte,private_key,String,Compatible,Rust stores armored string directly
AddressKey,Token,Token,string,token,Option<String>,Compatible,Rust allows null/missing
AddressKey,Signature,Signature,string,signature,Option<String>,Compatible,Rust allows null/missing
AddressKey,Active,Active,Bool,active,i32,Compatible,
AddressKey,Primary,Primary,Bool,primary,Option<i32>,Compatible,Bool wrapper vs API-int
AddressKey,Flags,Flags,KeyState,flags,Option<i32>,Compatible,Enum vs raw int
MessageMetadata,ID,ID,string,id,String,Exact,
MessageMetadata,AddressID,AddressID,string,address_id,String,Exact,
MessageMetadata,LabelIDs,LabelIDs,[]string,label_ids,Vec<String>,Exact,
MessageMetadata,ExternalID,ExternalID,string,external_id,Option<String>,Compatible,
MessageMetadata,Subject,Subject,string,subject,String,Exact,
MessageMetadata,Sender,Sender,*mail.Address,sender,EmailAddress,Compatible,mail.Address pointer vs owned struct
MessageMetadata,ToList,ToList,[]*mail.Address,to_list,Vec<EmailAddress>,Compatible,
MessageMetadata,CCList,CCList,[]*mail.Address,cc_list,Vec<EmailAddress>,Compatible,
MessageMetadata,BCCList,BCCList,[]*mail.Address,bcc_list,Vec<EmailAddress>,Compatible,
MessageMetadata,ReplyTos,ReplyTos,[]*mail.Address,reply_tos,Vec<EmailAddress>,Compatible,
MessageMetadata,Flags,Flags,MessageFlag,flags,i64,Compatible,Bitmask width differs
MessageMetadata,Time,Time,int64,time,i64,Exact,
MessageMetadata,Size,Size,int,size,i64,Compatible,Width difference
MessageMetadata,Unread,Unread,Bool,unread,i32,Compatible,Bool wrapper vs API-int
MessageMetadata,IsReplied,IsReplied,Bool,is_replied,i32,Compatible,Bool wrapper vs API-int
MessageMetadata,IsRepliedAll,IsRepliedAll,Bool,is_replied_all,i32,Compatible,Bool wrapper vs API-int
MessageMetadata,IsForwarded,IsForwarded,Bool,is_forwarded,i32,Compatible,Bool wrapper vs API-int
MessageMetadata,NumAttachments,NumAttachments,int,num_attachments,i32,Compatible,
Message,MessageMetadata,embedded,MessageMetadata,metadata,MessageMetadata(flattened),Exact,Same JSON flattening boundary
Message,Header,Header,string,header,String,Exact,
Message,ParsedHeaders,ParsedHeaders,Headers,parsed_headers,Option<Value>,Compatible,
Message,Body,Body,string,body,String,Exact,
Message,MIMEType,MIMEType,rfc822.MIMEType,mime_type,String,Compatible,Typed alias vs string
Message,Attachments,Attachments,[]Attachment,attachments,Vec<Attachment>,Exact,
Attachment,ID,ID,string,id,String,Exact,
Attachment,Name,Name,string,name,String,Exact,
Attachment,Size,Size,int64,size,i64,Exact,
Attachment,MIMEType,MIMEType,rfc822.MIMEType,mime_type,String,Compatible,Typed alias vs string
Attachment,Disposition,Disposition,Disposition,disposition,Option<String>,Compatible,
Attachment,Headers,Headers,Headers,headers,Option<Value>,Compatible,
Attachment,KeyPackets,KeyPackets,string,key_packets,String,Exact,
Attachment,Signature,Signature,string,signature,Option<String>,Compatible,
MessageFilter,ID,ID,[]string,id,Option<Vec<String>>,Compatible,
MessageFilter,Subject,Subject,string,subject,Option<String>,Compatible,
MessageFilter,AddressID,AddressID,string,address_id,Option<String>,Compatible,
MessageFilter,ExternalID,ExternalID,string,external_id,Option<String>,Compatible,
MessageFilter,LabelID,LabelID,string,label_id,Option<String>,Compatible,
MessageFilter,EndID,EndID,string,end_id,Option<String>,Compatible,
MessageFilter,Desc,Desc,Bool,desc,i32,Compatible,Bool wrapper vs API-int
DraftTemplate,Subject,Subject,string,subject,String,Exact,
DraftTemplate,Sender,Sender,*mail.Address,sender,EmailAddress,Compatible,
DraftTemplate,ToList,ToList,[]*mail.Address,to_list,Vec<EmailAddress>,Compatible,
DraftTemplate,CCList,CCList,[]*mail.Address,cc_list,Vec<EmailAddress>,Compatible,
DraftTemplate,BCCList,BCCList,[]*mail.Address,bcc_list,Vec<EmailAddress>,Compatible,
DraftTemplate,Body,Body,string,body,String,Exact,
DraftTemplate,MIMEType,MIMEType,rfc822.MIMEType,mime_type,String,Compatible,
DraftTemplate,Unread,Unread,Bool,unread,i32,Compatible,
DraftTemplate,ExternalID,ExternalID,string,external_id,Option<String>,Compatible,
CreateDraftReq,Message,Message,DraftTemplate,message,DraftTemplate,Exact,
CreateDraftReq,AttachmentKeyPackets,AttachmentKeyPackets,[]string,attachment_key_packets,Option<Vec<String>>,Compatible,
CreateDraftReq,ParentID,ParentID,string,parent_id,Option<String>,Compatible,
CreateDraftReq,Action,Action,CreateDraftAction,action,i32,Compatible,Enum vs raw int
MessageRecipient,Type,Type,EncryptionScheme,recipient_type,i32,Compatible,Enum vs raw int
