area,openproton_component,openproton_symbol,openproton_endpoint_or_behavior,upstream_component,upstream_symbol,upstream_endpoint_or_behavior,status,notes
Event bootstrap,src/api/events.rs,get_events(last_event_id=""),GET /core/v4/events/latest,go-proton-api/event.go,GetLatestEventID,GET /core/v4/events/latest,partial,OpenProton folds bootstrap+fetch into one function while GPA exposes dedicated latest-ID call
Event fetch by cursor,src/api/events.rs,get_events(last_event_id),GET /core/v4/events/{eventID},go-proton-api/event.go,GetEvent/getEvent,GET /core/v4/events/{eventID},partial,OpenProton returns single EventsResponse per call; GPA aggregates multiple events while More=true (up to maxCollectedEvents=50)
Event stream scheduler,src/bridge/events.rs,worker poll loop,interval polling with jitter/backoff,go-proton-api/event.go,NewEventStream,ticker polling with jitter,partial,Semantics need side-by-side on failure and cursor advancement policies
Event payload typing,src/api/types.rs,TypedEventPayload,serde parse of Messages/Labels/Addresses/Contacts/etc,go-proton-api/event_types.go,Event/MessageEvent/LabelEvent/AddressEvent,strongly typed fields,partial,OpenProton supports canonical + heuristic parsing; needs conformance checks for edge payload shapes
Refresh handling,src/bridge/events.rs,EventDelta + refresh/resync branches,interprets Refresh and label/address changes,go-proton-api/event_types.go,RefreshFlag,RefreshMail/RefreshAll bit flags,partial,Need exact mapping audit for Refresh bitmask semantics
Get full message,src/api/messages.rs,get_message,GET /mail/v4/messages/{id},go-proton-api/message.go,GetMessage,GET /mail/v4/messages/{id},match,Basic contract aligns
Get message metadata page,src/api/messages.rs,get_message_metadata,POST /mail/v4/messages + X-HTTP-Method-Override GET + Sort=ID,go-proton-api/message.go,GetMessageMetadataPage,POST /mail/v4/messages + override GET,partial,Need comparison for pagination and field defaults (Page/PageSize/Desc/EndID handling)
Get all metadata,src/bridge/events.rs + src/api/messages.rs,resync pagination loop,repeated page fetch in worker,go-proton-api/message.go,GetMessageMetadata,fetchPaged over count,partial,Implementation strategy differs; parity focus is resulting coverage/order/stability
Mark read,src/api/messages.rs,mark_messages_read,PUT /mail/v4/messages/read,go-proton-api/message.go,MarkMessagesRead,PUT /mail/v4/messages/read,match,Need batch-size/error-path parity checks
Mark unread,src/api/messages.rs,mark_messages_unread,PUT /mail/v4/messages/unread,go-proton-api/message.go,MarkMessagesUnread,PUT /mail/v4/messages/unread,match,Need batch-size/error-path parity checks
Label messages,src/api/messages.rs,label_messages,PUT /mail/v4/messages/label,go-proton-api/message.go,LabelMessages,PUT /mail/v4/messages/label,match,Chunked per-item response validation with UndoActions rollback parity
Unlabel messages,src/api/messages.rs,unlabel_messages,PUT /mail/v4/messages/unlabel,go-proton-api/message.go,UnlabelMessages,PUT /mail/v4/messages/unlabel,match,Chunked per-item response validation with UndoActions rollback parity
Delete messages,src/api/messages.rs,delete_messages,PUT /mail/v4/messages/delete,go-proton-api/message.go,DeleteMessage,PUT /mail/v4/messages/delete,match,150-size chunking plus bounded parallel page deletes
Draft create,src/api/messages.rs,create_draft,POST /mail/v4/messages,go-proton-api/message_send.go + message_draft_types.go,CreateDraft,POST /mail/v4/messages,match,AttachmentKeyPackets always serialized; request/response contract tests added
Draft update,src/api/messages.rs,update_draft,PUT /mail/v4/messages/{id},go-proton-api/message_send.go + message_draft_types.go,UpdateDraft,PUT /mail/v4/messages/{id},match,New wrapper + request contract tests
Draft send,src/api/messages.rs,send_draft,POST /mail/v4/messages/{id},go-proton-api/message_send.go + message_send_types.go,SendDraft,POST /mail/v4/messages/{id},match,Package payload contract covered by wire-level tests
IMAP event apply (message),src/bridge/events.rs,apply_event* + delta parser,store upsert/delete then notify clients,proton-bridge/internal/services/imapservice/service_message_events.go,HandleMessageEvents,onMessageCreated/onMessageUpdate/onMessageDeleted,partial,Need behavior-level diff for fallback update->create and draft/sent handling
IMAP sync handler split,src/bridge/events.rs,single worker paths,combined event and sync passes,proton-bridge/internal/services/imapservice/service_sync_events.go,newSyncEventHandler + syncMessageEventHandler,distinct sync-time handlers,partial,Architecture differs; compare outcomes not structure
Label event handling,src/bridge/events.rs,label topology refresh + resync trigger,labels changed -> bounded account resync path,proton-bridge/internal/services/imapservice/service_label_events.go,HandleLabelEvents,onLabelCreated/Updated/Deleted with conflict resolution,partial,Need parity on rename/path-change and mailbox update emission
Bad event / deauth reaction,src/bridge/events.rs,health classification + account availability,auth errors mark account unavailable and retry/backoff,proton-bridge/internal/bridge/user_events.go,handleUserEvent,UserBadEvent/UserDeauth handling,partial,Both have recovery paths; semantics and user-facing events need detailed check
